bytes,captured_at,file_path,public_url,revision,sha256,space_id,status_code,decoder_version,source_encoding
3079,2026-08-30T21:30:25.928034+00:00,app.py,https://huggingface.co/spaces/10805j/aitutor/resolve/1bdd4feb1b68faabf304510349772b5ea992e773/app.py,1bdd4feb1b68faabf304510349772b5ea992e773,0395a50cee1003c6eee869875c3727d1ed51adad3295fa4eb5ff90880ab3cdfe,10805j/aitutor,200,,
413,2026-08-30T21:30:25.421258+00:00,README.md,https://huggingface.co/spaces/10805j/aitutor/resolve/1bdd4feb1b68faabf304510349772b5ea992e773/README.md,1bdd4feb1b68faabf304510349772b5ea992e773,83368877a97c9d0fd91e4e259132888be2953a968c3b27b96eea2b8929631f0e,10805j/aitutor,200,,
55,2026-08-30T21:30:25.947060+00:00,requirements.txt,https://huggingface.co/spaces/10805j/aitutor/resolve/1bdd4feb1b68faabf304510349772b5ea992e773/requirements.txt,1bdd4feb1b68faabf304510349772b5ea992e773,921188ddc8d17f948b9dd58ac1478cccde5e2768bc9224da9e53e8211a20fff4,10805j/aitutor,200,,
2134,2026-08-30T21:30:25.924714+00:00,utils/ai_helper.py,https://huggingface.co/spaces/10805j/aitutor/resolve/1bdd4feb1b68faabf304510349772b5ea992e773/utils/ai_helper.py,1bdd4feb1b68faabf304510349772b5ea992e773,5ad972c0082fc354534eb25afd75c31e10bd97a9cac318add2ef8aadf43cf361,10805j/aitutor,200,,
0,2026-08-30T21:30:25.675071+00:00,utils/__init__.py,https://huggingface.co/spaces/10805j/aitutor/resolve/1bdd4feb1b68faabf304510349772b5ea992e773/utils/__init__.py,1bdd4feb1b68faabf304510349772b5ea992e773,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,10805j/aitutor,200,,
2833,2026-08-30T21:30:25.922884+00:00,utils/prompt_templates.py,https://huggingface.co/spaces/10805j/aitutor/resolve/1bdd4feb1b68faabf304510349772b5ea992e773/utils/prompt_templates.py,1bdd4feb1b68faabf304510349772b5ea992e773,ea11c3f4708e91040e7f30ef56f972ac34b7a316ba086fcde13bb81d72841177,10805j/aitutor,200,,
244,2026-08-30T21:30:26.509811+00:00,README.md,https://huggingface.co/spaces/13yashjadhav11/study_assistant/resolve/6589f7ddbb9b9744e1524f876c4862b57caa2d87/README.md,6589f7ddbb9b9744e1524f876c4862b57caa2d87,9b0828a0e113dbaf6ab3ccba953035dcacb17b62d210a11b2b7a99bce475a4b9,13yashjadhav11/study_assistant,200,,
1663,2026-08-30T21:30:27.090526+00:00,app.py,https://huggingface.co/spaces/13yashjadhav11/study_assistant/resolve/6589f7ddbb9b9744e1524f876c4862b57caa2d87/app.py,6589f7ddbb9b9744e1524f876c4862b57caa2d87,62a05d094245d6385bddf4e9a51e4359f9e0c2451ec3e97211b843c71d25ce13,13yashjadhav11/study_assistant,200,,
20,2026-08-30T21:30:27.073975+00:00,requirements.txt,https://huggingface.co/spaces/13yashjadhav11/study_assistant/resolve/6589f7ddbb9b9744e1524f876c4862b57caa2d87/requirements.txt,6589f7ddbb9b9744e1524f876c4862b57caa2d87,95b4ef97b952c34747ec62bd11226237b56adcd53182fcd706b2f2be09c37c53,13yashjadhav11/study_assistant,200,,
2791,2026-08-30T21:30:28.103693+00:00,README.md,https://huggingface.co/spaces/24-cka-ML/quiz-generator/resolve/e8dc54c226ca5d21680cbf10b31e2ba35389a911/README.md,e8dc54c226ca5d21680cbf10b31e2ba35389a911,2e5c86a4dc8d5f089a2c419ebbf449f2f3d6cf8d12d4ffd385966f484455cd65,24-cka-ML/quiz-generator,200,,
