draw,mutual_information
1,0.40875022019647345
2,0.4039329130892275
3,0.3527355920207156
4,0.3333437410118836
5,0.33483945596543085
6,0.3951650499502133
7,0.33605593129723665
8,0.3689381007849324
9,0.32464886159128126
10,0.3102161020596568
11,0.3189713396671392
12,0.3325442502664635
13,0.36791735356665
14,0.2901483467046817
15,0.3474501160710677
16,0.44865792311855257
17,0.38368992417992764
18,0.360234383472847
19,0.2924339766289328
20,0.3490101923691622
21,0.33441230541972766
22,0.33159433841113817
23,0.34244225626725333
24,0.31907879230138825
25,0.3436321430600331
26,0.31450410450076305
27,0.3452739252025383
28,0.3597319353737207
29,0.35976607226345303
30,0.31208127291503107
31,0.3383105455816202
32,0.35649721531515777
33,0.33556931146330093
34,0.35396412844271286
35,0.32400272857943646
36,0.34215716602798496
37,0.3245271895516577
38,0.3568081378880148
39,0.36720738413603726
40,0.4013429211825863
41,0.35914792018564023
42,0.41269041860551336
43,0.43613814593577827
44,0.3718392693360677
45,0.37870712701313547
46,0.3380355729344888
47,0.3325728800077514
48,0.2938274789259778
49,0.3258662504019565
50,0.3108264653555297
51,0.43404715392109905
52,0.2891168974357625
53,0.35794295063708237
54,0.31977457469424175
55,0.28211454346050147
56,0.41339199334148624
57,0.3552173711379014
58,0.38135621649547113
59,0.3112960693804041
60,0.3307590899294386
61,0.3220529283356113
62,0.36572481760990305
63,0.3585701670856256
64,0.3379823627918803
65,0.324975539346807
66,0.3546651566763974
67,0.38231223712562823
68,0.3670081704009047
69,0.3148829489262255
70,0.3276813825749332
71,0.36577539716905516
72,0.3061424664075685
73,0.318108319969169
74,0.29038310560792757
75,0.36568831341008723
76,0.3694932724000899
77,0.3250214748013054
78,0.3065240981557862
79,0.3374359105787188
80,0.3526303082789606
81,0.2720210470404538
82,0.32098119502261335
83,0.4043799626740454
84,0.4118872995758345
85,0.3091711986986736
86,0.3221491507175207
87,0.3315262298259851
88,0.38311317138146794
89,0.37423813944120754
90,0.3648768579965056
91,0.3296673985203493
92,0.35970021503359506
93,0.35380723991138874
94,0.38641023365427607
95,0.35983838340200425
96,0.32341896330952835
97,0.30373653188712213
98,0.35902296938072276
99,0.34687497434017933
100,0.3939944154803232
101,0.3735282294787421
102,0.3597856670858821
103,0.323410661261077
104,0.3136684345195344
105,0.3341369554066205
106,0.31506960613793167
107,0.38488909633611224
108,0.33376976381390877
109,0.29290610476736667
110,0.3529940778901608
111,0.33762974061996287
112,0.4033697467669817
113,0.34715626664157284
114,0.34489764919757526
115,0.3334231342430014
116,0.3596333401442342
117,0.3605516829361597
118,0.3536455296216525
119,0.3480952031593243
120,0.3708211782548263
121,0.32970568460325245
122,0.421727896002448
123,0.37497458294720554
124,0.3796094517123958
125,0.3018282985640095
126,0.40647422109823506
127,0.36631060065844334
128,0.29969378215025255
129,0.3437548411555391
130,0.38279176212838406
131,0.3218554146251047
132,0.2941527491273437
133,0.2776705591832309
134,0.39910045620871415
135,0.3487641324431854
136,0.38395606391367254
137,0.30768621441238375
138,0.3183608036970411
139,0.37863926418429994
140,0.3338789468417418
141,0.34264676200029864
142,0.37003544845612435
143,0.32917132361494605
144,0.2977409179061805
145,0.2667320432575089
146,0.36409452380529306
147,0.3558827928347803
148,0.33212667722915246
149,0.3496766772382278
150,0.3512546692716909
151,0.34853516055043254
152,0.33710588157884036
153,0.40523164923902977
154,0.34306796468314005
155,0.36969043810730096
156,0.297660312524342
157,0.3893548845562731
158,0.42848636363021875
159,0.36933272082892543
160,0.2681783919032643
161,0.4584083309399971
162,0.31689651511653594
163,0.3341242041847172
164,0.3467584284143084
165,0.32182706424872487
166,0.33029346393400427
167,0.34978966535886524
168,0.2759643582600466
169,0.3392734662092636
170,0.31906091571106554
171,0.35433587886007567
172,0.3031480329234979
173,0.339200402657152
174,0.3536099099084997
175,0.3293769638239521
176,0.3545128849357351
177,0.33658713700504084
178,0.30059866548525216
179,0.3591605733315446
180,0.3606906232838458
181,0.4186659100531278
182,0.3168953163626198
183,0.4096172457307308
184,0.36355923918975463
185,0.3552885481058392
186,0.40941345177609456
187,0.27783377876927196
188,0.3845951044277327
189,0.39229635070313673
190,0.3337705444169776
191,0.37154883608070977
192,0.36605171291507155
193,0.369628173329303
194,0.3501274961025649
195,0.3488481540087962
196,0.4196321336098361
197,0.32351227373540326
198,0.38372999682202824
199,0.31195672812563435
200,0.3497226526601298
201,0.35180933926029967
202,0.33695501622308655
203,0.3372923482174892
204,0.3918484599647507
205,0.331294166229235
206,0.36141419641113304
207,0.3007298655951103
208,0.31344192031169626
209,0.3269509398370185
210,0.3100718374400726
211,0.30374271105826267
212,0.3587771326759155
213,0.4379872690626758
214,0.33081541134250614
215,0.34550203613433395
216,0.3664722126292723
217,0.2576450550535965
218,0.33298764866590647
219,0.37157556285838655
220,0.36926321231357795
221,0.37370032635138406
222,0.3606628182057863
223,0.28330866783998765
224,0.3452106375913129
225,0.3146159466530607
226,0.30359623414518966
227,0.3618740541830343
228,0.45305206318547375
229,0.38472788522227397
230,0.3493485677776089
231,0.42669049371832246
232,0.357212705523259
233,0.3797596113598489
234,0.3275751148402928
235,0.28983567560641843
236,0.29007733099860467
237,0.3966325482145603
238,0.3452519925883988
239,0.38593893551965186
240,0.35110299744531615
241,0.29421554703043995
242,0.3443798656653976
243,0.33228460004828086
244,0.3135219635318056
245,0.3709047253313904
246,0.33836273388977833
247,0.38093707915649233
248,0.30174401895377256
249,0.31961904042515954
250,0.3269331302928049
251,0.3842357143907873
252,0.3544577101831332
253,0.3336656845956454
254,0.36056495509718367
255,0.36196005779610063
256,0.3322983626306475
257,0.36715301188881755
258,0.3942750694088044
259,0.3556483822158234
260,0.39655615407471956
261,0.3821624166448361
262,0.32966119777415637
263,0.33627016620986794
264,0.26346397650994025
265,0.3101416504919632
266,0.34989433442766993
267,0.3432633564434755
268,0.40260610838233024
269,0.36603966746713645
270,0.33969153780406725
271,0.4137241819641462
272,0.36589454624712614
273,0.33441891850599115
274,0.2655905490861379
275,0.43085799627066956
276,0.4246045643753762
277,0.340005229385941
278,0.33006258488115314
279,0.34036672347237973
280,0.39955422089125303
281,0.35447523604820663
282,0.3574620501471446
283,0.2917394566686782
284,0.40224394638186745
285,0.3325758444281983
286,0.365132865540331
287,0.3194859230821123
288,0.3380505183535272
289,0.3137092195411255
290,0.35771488458176215
291,0.3704203065531475
292,0.4108931818894428
293,0.34031833579464044
294,0.3978995565098322
295,0.35872621117871484
296,0.3246567311337225
297,0.4025882965163663
298,0.34536176105199257
299,0.3239687409852152
300,0.3928578045600428
301,0.3570939375884383
302,0.33370555431117577
303,0.3613032585394804
304,0.36997084455221163
305,0.31937059312262583
306,0.34412362801929897
307,0.3390300092391012
308,0.31011226133316505
309,0.30384603076222927
310,0.36228134193282635
311,0.42002737616340635
312,0.36955786136284274
313,0.3543911765234098
314,0.3884185141516969
315,0.42488708692268107
316,0.33308427495469584
317,0.3560730879757039
318,0.3724450687120795
319,0.41461927219269734
320,0.3677242786950785
321,0.3993597143439751
322,0.43718048318386593
323,0.3655623651141062
324,0.37001031555855723
325,0.3730005853417486
326,0.34046819418435037
327,0.39331095041498143
328,0.3070958118072791
329,0.31479761554399
330,0.35096916632412745
