draw,initial_service_hhi,current_service_hhi,hhi_change_current_minus_initial
1,0.2896232583874051,0.2892447562999849,-0.000378502087420185
2,0.31318847140485884,0.3164686132488307,0.003280141843971851
3,0.32150671495397615,0.3196267793370555,-0.001879935616920625
4,0.28498943715104874,0.29152079875257786,0.006531361601529118
5,0.293137920627735,0.29133343393189476,-0.0018044866958402683
6,0.30301544187918117,0.3076454906694834,0.00463004879030221
7,0.29573462099491976,0.31993611991348525,0.02420149891856549
8,0.2928486997635934,0.3020383783511897,0.009189678587596284
9,0.3010097580604597,0.31596121925456466,0.014951461194104954
10,0.3098718625823651,0.30724372516473014,-0.002628137417634957
11,0.28772446054021417,0.2891517026306525,0.0014272420904383187
12,0.3048450782153815,0.3026947839645894,-0.0021502942507921063
13,0.31419760072430963,0.3011543684925306,-0.013043232231779056
14,0.2902362808711835,0.29270031688546855,0.0024640360142850204
15,0.2941250440118707,0.2993373069765103,0.0052122629646396135
16,0.32156330164478647,0.32844235702429453,0.006879055379508059
17,0.2810377999094613,0.2830441124691917,0.0020063125597303832
18,0.28028016699361197,0.28614506312559734,0.005864896131985375
19,0.36772546652582866,0.3696116895528394,0.0018862230270107472
20,0.29181756450882756,0.30477591670439114,0.012958352195563572
21,0.2861997635933806,0.2913145717016246,0.0051148081082439956
22,0.34781323877068565,0.34906317589658464,0.0012499371258989922
23,0.29975856345254265,0.2973668326542931,-0.0023917307982495584
24,0.32079623761380216,0.32567778280770593,0.004881545193903769
25,0.31379206277350236,0.3233841356068608,0.009592072833358445
26,0.3015944871988331,0.3052575323172878,0.003663045118454722
27,0.32479503043106484,0.3269516120919471,0.002156581660882284
28,0.3016164931341483,0.2940778884361953,-0.0075386046979529775
29,0.3065898345153665,0.3150338262662844,0.008443991750917923
30,0.2848196770786177,0.2786517277802928,-0.006167949298324926
31,0.3085735123987727,0.319191061817816,0.010617549419043304
32,0.27992807202857006,0.28126603289572955,0.0013379608671594823
33,0.3200417484029979,0.3245743423369045,0.004532593933906592
34,0.3212866556008249,0.3240122478748554,0.002725592274030464
35,0.3191457924651678,0.32108545847794373,0.0019396660127759535
36,0.31190269604144666,0.30602585383029024,-0.005876842211156419
37,0.27565892057743574,0.2763681404355917,0.0007092198581559739
38,0.32367587143503845,0.3235872189527691,-8.865248226935796e-05
39,0.2940464513857452,0.2999522156833158,0.005905764297570615
40,0.31368203309692666,0.31597253659272667,0.0022905034958000114
41,0.28544527438257633,0.2815640561339973,-0.0038812182485790103
42,0.3007896987073085,0.3178681907348725,0.017078492027564007
43,0.28447386952366577,0.28051783109501544,-0.0039560384286503325
44,0.28985589256073635,0.2956277350233892,0.005771842462652832
45,0.3212112066797445,0.32683215130023646,0.005620944620491952
46,0.29452743825763295,0.2940684573210604,-0.00045898093657253947
47,0.31682259443689953,0.32484532971178504,0.008022735274885506
48,0.3623874553593883,0.3732835370454203,0.010896081686031955
49,0.2888373321261506,0.2993737739550325,0.010536441828881915
50,0.32165761279613697,0.314081283637644,-0.007576329158492989
51,0.3152758915547508,0.3063678889391881,-0.008908002615562682
52,0.2807611538654997,0.28837332126150594,0.007612167396006231
53,0.3420005281424475,0.3600548262159851,0.01805429807353759
54,0.27741939540264576,0.27973944972586895,0.0023200543232231863
55,0.28654242744328756,0.29498201800714247,0.008439590563854904
56,0.3432925909159498,0.34587042905286447,0.0025778381369146453
57,0.2898747547910065,0.294544414264876,0.004669659473869492
58,0.3015504753282028,0.31155688848649465,0.010006413158291871
59,0.26070745938333084,0.26952555203460593,0.008818092651275089
60,0.30786303505859863,0.3145377496101806,0.006674714551581973
61,0.3339432121120668,0.35238292842412355,0.018439716312056764
62,0.2874163774458025,0.29207031839444697,0.004653940948644464
63,0.3124088325536945,0.3290767567023793,0.016667924148684787
64,0.2866493134148182,0.3020308334590816,0.015381520044263408
65,0.28283285549016646,0.29773401740355115,0.014901161913384697
66,0.28868014687389976,0.30246214979125796,0.013782002917358205
67,0.2835967758161058,0.29205900105628496,0.008462225240179144
68,0.29503043106483573,0.301752929933102,0.006722498868266258
69,0.3156091242895227,0.3279374779940646,0.012328353704541883
70,0.3303688194758815,0.3472938986972487,0.016925079221367212
71,0.2865738644937378,0.2915912177455862,0.005017353251848433
72,0.3111262008953272,0.3142937980986871,0.0031675972033599065
73,0.2779664000804789,0.2737852723706051,-0.004181127709873778
74,0.3079447713897691,0.31760537699310903,0.009660605603339922
75,0.3287686736079674,0.3456880941602535,0.01691942055228607
76,0.3066244152708616,0.291372415874453,-0.015251999396408589
77,0.29310648357728486,0.30582905789447207,0.012722574317187207
78,0.3126917660077462,0.3156782858005131,0.0029865197927669285
79,0.2944519893365526,0.28509380815854335,-0.00935818117800924
80,0.2883532015492178,0.31029626276344247,0.02194306121422468
81,0.3110035963985716,0.3161121170967255,0.005108520698153873
82,0.3053857954831246,0.31772106533876565,0.01233526985564104
83,0.3141095769830491,0.3072757909561893,-0.0068337860268598005
84,0.31934384588300385,0.3275514310145365,0.008207585131532635
85,0.2931693576781852,0.29814395654142145,0.004974598863236257
86,0.2996013782002917,0.2933743272471203,-0.006227050953171387
87,0.3061214224636588,0.30448166591217746,-0.0016397565514813528
88,0.3066369900910417,0.31169835521352046,0.005061365122478789
89,0.2983910517579599,0.28756413158291844,-0.010826920175041443
90,0.312855238670087,0.3313207333635129,0.0184654946934259
91,0.301232961118656,0.3117077863286555,0.010474825209999483
92,0.2960364166792415,0.29950077963885113,0.0034643629596096126
93,0.32633230219807857,0.3317834867461395,0.005451184548060928
94,0.31346826115386545,0.3183718122830843,0.004903551129218864
95,0.29158178663045115,0.28974900658920577,-0.0018327800412453743
96,0.2958415069664504,0.2797708867763191,-0.01607062019013128
97,0.28819601629696695,0.27972058749559886,-0.00847542880136809
98,0.29342085408178664,0.296646295457975,0.003225441376188354
99,0.3064577989034757,0.31023024495749707,0.0037724460540213833
100,0.2959861173985212,0.3168163070268095,0.02083018962828831
101,0.3107332377646999,0.3086967456365374,-0.002036492128162537
102,0.2992398521201147,0.31681001961671945,0.017570167496604727
